U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
P2019238940001548561          BANDEIRANTES KIT BOX AL KF-4P-100 PR/BRI          UNI   ATF0000000000027899
P2019238940001548562          BANDEIRANTES KIT BOX AL KF-2P-160 PR/BRI          UNI   ATF0000000000019999
P2019238940001548563          ELETRODO OK 3.25MM  48.04                         KG    ATF0000000000002699
P2019238940001548565          IMPRESSORA FISCAL BEMATECH MP 2100 THFI           UNI   ATT1700000000198000
P2019238940001548566          LANCA COLONIAL MEDIA 1/2                          UNI   ATF0000000000000165
P2019238940001548567          LANCA BOLA MEDIA 1/2                              UNI   ATF0000000000000165
P2019238940001548568          PET ACQUA RECICLADA FUME 980X1800                 UNI   ATT7000000000003590
P2019238940001548570          ACO CEARENSE METALON 80 X 40 2.00                 PC    ATT1700000000011650
P2019238940001548571          ACO CEARENSE METALON 100 X 40 2.00                PC    ATT1700000000013000
P2019238940001548572          CBA PERFIL AL LIGA 6063 N-3254 / CUNHA            M     ATT1700000000000399
P2019238940001548573          BANDEIRANTES KIT BOX AL KF-2P-120 PR/BRI          UNI   ATF0000000000018000
P2019238940001548574          ACO CEARENSE TUBO GALV. 3 - 3.35                  M     ATT1700000000004260
P2019238940001548575          ACO CEARENSE CHAPA GALV 26 1.20MT                 PC    ATT1700000000004980
P2019238940001548576          ACO CEARENSE CHAPA GALV 22 1.20MT                 PC    ATT1700000000007110
P2019238940001548577          FECHADURA SOPRANO ESTREITA ALAV 21MM              UNI   ATF0000000000002850
P2019238940001548578          GERDAU ARAME RECOZIDO BWG 12                      KG    ATF0000000000000580
P2019238940001548579          ELETRODO  OK 4.00MM 46.00                         KG    ATT1700000000002380
P2019238940001548580          BANDEIRANTES KIT BOX AL KF-2P-120 PT              UNI   ATF0000000000015510
P2019238940001548581          BANDEIRANTES KIT BOX AL KF-2P-200 FOS             UNI   ATF0000000000018099
P2019238940001548582          GERDAU MALHA POP PESADA 2.00X3.00 10X10           PC    ATT1700000000010530
P2019238940001548583          PROMEL BRAC.MAX.550MM BRA 633/350 FOSC            PAR   ATT1700000000001360
P2019238940001548584          LUVA DE COURO VAQUETA 26 CM                       PAR   ATF0000000000002850
P2019238940001548585          ACO CEARENSE TELHA MT TZ 40 GALV 0.40             M     ATF0000000000002540
P2019238940001548586          LAMBRIL LB O.75                                   M     ATT1700000000002090
P2019238940001548587          BANDEIRANTES VIDRO FUME 04MM 3,21X2,40MM          M2    ATF0000000000005520
P2019238940001548588          BANDEIRANTES VIDRO INCOLOR 02MM 1.605X2,20MM      M2    ATF0000000000003158
P2019238940001548589          BANDEIRANTES KIT BOX AL KF-2P-160 PT              UNI   ATF0000000000016940
P2019238940001548590          SUPORTE PORTA ELETRODO 500A DISMA VONDER          UNI   ATF0000000000002050
P2019238940001548591          DORMER BROCA AR 5/32                              UNI   ATT1700000000000350
P2019238940001548592          DORMER BROCA VIDIA 5.0MM                          UNI   ATT1700000000000580
P2019238940001548593          DORMER BROCA VIDIA 3/15 5.0MM                     UNI   ATT1700000000000550
P2019238940001548594          DORMER BROCA AR 1/8                               UNI   ATT1700000000000380
P2019238940001548595          NORVIDRO VIDRO BRONZE 8MM IMPORTADO               M2    ATF0000000000027990
P2019238940001548596          ALUMINIO ANORDIZADO FOSCO EXTRUSADO KIT           KG    ATT1700000000040785
P2019238940001548597          BARRA ROSCA 5/8 1020 NC 11F                       UNI   ATF0000000000001099
P2019238940001548598          ADESIVO                                           UNI   ATF0000000000007250
P2019238940001548599          GERDAU CANTONEIRA 3 X 5/16 6M                     PC    ATT1700000000027720
P2019238940001548600          GERDAU CHAPA LQ  12.5X1000X2000MM                 UNI   ATT1700000000084000
P2019238940001548601          VENEZA ARRUELA LISA POLIDA 1/2                    UNI   ATF0000000000000012
P2019238940001548602          VENEZA ARRUELA LISA 3/8                           UNI   ATF0000000000000012
P2019238940001548603          BANDEIRANTES KIT BOX AL KF-2P-180 PT              UNI   ATF0000000000018499
P2019238940001548604          HASTE ACO 1/4 X 150 MM COMPLETA FERRO             PC    ATF0000000000000090
P2019238940001548605          CBA PERFIL AL LAMBRI LU072 L. UNI FC(20)          M     ATT1700000000001960
P2019238940001548606          CBA PERF AL LIGA 6063 N-1700 BZE                  M     ATT1700000000001999
P2019238940001548607          PERFIL 3282 6060-T5 BZE                           M     ATT1700000000002750
P2019238940001548608          PERFILADOS TUBO RETANGULAR 30X50 1.25 GALV        PC    ATT1700000000005760
P2019238940001548609          PERFILADOS TUBO RETANGULAR 30X70 1.55 GALV        PC    ATT1700000000009500
P2019238940001548610          PERFIL DE ALUMINIO E051A 6063                     M     ATT1700000000001799
P2019238940001548611          ELETRODO OK 2,00MM INOX                           KG    ATT1700000000008780
P2019238940001548612          PORTA ELETRODO 500A DISMA VONDER                  UNI   ATF0000000000003299
P2019238940001548613          PUXADOR TUBOLAR 400X300 ARCO 1 PRETO              CJ    ATF0000000000008460
P2019238940001548614          PUXADOR TUBOLAR 400X300 ARCO 1 POLIDO             CJ    ATF0000000000008460
P2019238940001548615          PUXADOR TUBOLAR 165 1 PRETO                       CJ    ATF0000000000004500
P2019238940001548616          PUXADOR TUBOLAR 165 1 POLIDO                      CJ    ATF0000000000004500
P2019238940001548618          STAM FECHADURA 401/07 ESP INOX                    UNI   ATF0000000000002899
P2019238940001548619          ACO CEARENSE METALON 30 X 20 0.75                 PC    ATT1700000000001740
P2019238940001548620          ACO CEARENSE TUBO GALV. 2 - 3.00                  M     ATT1700000000002730
P2019238940001548621          PORCA 1.1/4 SEXT. 1020 NC CH 1.7/8  BELENUS       UNI   ATF0000000000000350
P2019238940001548622          ARRUELA LISA 1.1/4                                UNI   ATF0000000000000095
P2019238940001548623          PORTA ELETRODO 500A C 500 LEDAN                   UNI   ATF0000000000006999
P2019238940001548624          ACO CEARENSE METALON 30 X 20 1.50                 PC    ATT1700000000003780
P2019238940001548625          ACO CEARENSE METALON 40 X 20 1.50                 PC    ATT1700000000004599
P2019238940001548626          ACO CEARENSE METALON 50 X 30 1.50                 PC    ATT1700000000006240
P2019238940001548627          ACO CEARENSE TUBO PATENTE 1.1/4 X 2.65            M     ATF0000000000001280
P2019238940001548628          AGROLAR LAMBRIL GALV DUPLO 0.65X1.60MM            M     ATT1700000000001040
P2019238940001548629          ESCOVA DE VEDAÇAO 5X6 CINZA                       UNI   ATT0000000000000050
P2019238940001548630          TRANQUETA C/ BICO EM NYLON PRETO                  UNI   ATT1700000000000180
P2019238940001548631          BANDEIRANTES KIT BOX AL KF-2P-120 FOSCO           M     ATF0000000000025299
P2019238940001548632          ACO CEARENSE METALON GALV 30 X 30 0.95            PC    ATT1700000000003399
P2019238940001548633          ACO CEARENSE METALON 70 X 70 2.00                 PC    ATT1700000000013800
P2019238940001548634          ACO CEARENSE METALON 90 X 30 1.20                 PC    ATT1700000000006850
P2019238940001548635          SINOBRAS VERGALHAO 5/16                           PC    ATF0000000000002050
P2019238940001548636          SINOBRAS VERGALHAO 3/8                            PC    ATF0000000000002899
P2019238940001548637          SINOBRAS VERGALHAO 1/2                            PC    ATF0000000000004425
P2019238940001548638          BANDEIRANTES VIDRO INCOLOR 03MM 3,21X2,20MM       M2    ATF0000000000004146
P2019238940001548639          GEPETEC ROLDANA ACO 6 V                           PC    ATT1700000000007325
P2019238940001548640          GEPETEC ROLDANA ACO 5 V                           PC    ATT0000000000005510
P2019238940001548641          GEPETEC ROLDANA ACO 5 V C/ CAV                    PC    ATT1700000000008066
P2019238940001548642          BRASILIA CADEADO TRAVA LATERAL 502                PC    ATT0000000000005190
P2019238940001548643          PERFILADOS TUBO RETANGULAR 20 X 40 1.25 GALV      PC    ATT1700000000003800
P2019238940001548644          SINOBRAS VERGALHAO 1/4                            PC    ATF0000000000001020
P2019238940001548645          FECHADURA CENTRAL C/ MACANETA AL1520MV            UNI   ATT1700000000013137
P2019238940001548646          ACO CEARENSE METALON 50 X 50 2.00                 PC    ATT1700000000008980
P2019238940001548647          ACO CEARENSE METALON 60 X 40 2.00                 PC    ATT1700000000008230
P2019238940001548648          ACO CEARENSE METALON 60 X 60 2.00                 PC    ATT1700000000011350
P2019238940001548649          ACO CEARENSE METALON 80 X 80 2.00                 PC    ATT1700000000016240
P2019238940001548650          ACO CEARENSE METALON 70 X 30 1.20                 PC    ATT1700000000005330
P2019238940001548651          PARAFUSO SEXT SOB 1/4X70MM                        UNI   ATF0000000000000100
P2019238940001548652          MOLDURA P/ PORTÃO BRANCO                          M     ATT1700000000003999
P2019238940001548653          STAM FECHADURA 803/11 INOX                        UNI   ATF0000000000005399
P2019238940001548654          ACO CEARENSE PERFIL ENR 2 X 2,00 25MM             PC    ATT1700000000003630
P2019238940001548655          BANDEIRANTES KIT BOX AL KF-2P-180 FOSCO           M2    ATF0000000000019500
P2019238940001548656          TELA GALVANIZADA 1/4X1/4  0.89MM                  M     ATT1700000000005236
P2019238940001548657          TELA GALVANIZADA 1/2X1/2  0.89MM                  M     ATT1700000000002561
P2019238940001548658          TELA GALVANIZADA 2X2  2.11MM                      M     ATT1700000000003045
P2019238940001548659          TELA GALVANIZADA 3/8X3/8  0.89MM                  M     ATT1700000000003206
P2019238940001548660          TELA GALVANIZADA 5/8X5/8  1.07MM                  M     ATT1700000000002883
P2019238940001548661          TELA GALVANIZADA 3/4X3/4  1.07MM                  M     ATT1700000000002658
P2019238940001548662          TELA GALVANIZADA 1X1  1.07MM                      M     ATT1700000000002400
P2019238940001548663          TELA GALVANIZADA 1-1/2X1-1/2  1.65MM              M     ATT1700000000003625
P2019238940001548664          TELA GALVANIZADA 1X2  2.11MM                      M     ATT1700000000002899
P2019238940001548665          TELA GALVANIZADA 3/4X3/4  1.24MM                  M     ATT1700000000004326
P2019238940001548666          AGROLAR GRAMPO PRETOP/MURO CH 14 2.00             KG    ATF0000000000000660
P2019238940001548667          PERFILADOS TUBO RETANGULAR 20X30 1.25 GALV        PC    ATT1700000000003110
P2019238940001548668          AGROLAR PERFIL STANLEY  GALV 45X17X8X1,20         PC    ATT1700000000007000
P2019238940001548669          TRENA PRECISAO 8M ACO IRWIN                       UNI   ATT1700000000001999
P2019238940001548673          BANDEIRANTES VIDRO INCOLOR 12MM 3.21X2.20MM       M2    ATT1700000000026378
P2019238940001548674          GERDAU VERGALHAO 25/1 CA-50                       PC    ATF0000000000011975
P2019238940001548675          ACO CEARENSE TRELIÇA 6M                           PC    ATF0000000000002130
P2019238940001548676          BANDEIRANTES KIT BOX AL KF-2P-100 FOS             M2    ATF0000000000011099
P2019238940001548677          BANDEIRANTES KIT BOX AL KF-2P-100 PT              M2    ATF0000000000014699
P2019238940001548678          CBA PERFIL AL LIGA 6063 E051 BRONZE               M     ATT1700000000001999
P2019238940001548679          PRENSAL CX MOLA 2.5 X 45 PRETA                    PC    ATT1700000000002699
P2019238940001548680          PRENSAL CX MOLA 3.0 X 45 PRETA                    PC    ATT1700000000002999
P2019238940001548681          PRENSAL CX MOLA 3.5 X 45 PRETA                    PC    ATT1700000000003399
P2019238940001548682          PRENSAL CX MOLA 4.5 X 45 PRETA                    PC    ATT1700000000004399
P2019238940001548683          PRENSAL CX MOLA 4.0 X 45 PRETA                    PC    ATT1700000000003999
P2019238940001548684          PRENSAL CX MOLA 5.0 X 45 PRETA                    PC    ATT1700000000004799
P2019238940001548685          PRENSAL CX MOLA 5.5 X 45 PRETA                    PC    ATT1700000000005099
P2019238940001548686          PRENSAL CX MOLA 6.0 X 45 PRETA                    PC    ATT1700000000005499
P2019238940001548687          PRENSAL ROLO DE MOLA 45M                          KG    ATT1700000000001799
P2019238940001548688          AGROLAR COLUNA DE CENTRO 3M                       PC    ATF0000000000005299
P2019238940001548689          LINCOLN ELETRODO 4.00 6013                        KG    ATF0000000000001460
P2019238940001548690          ELETRODO OK 3.25MM  96.50                         KG    ATF0000000000016299
P2019238940001548691          REBITE REP AL 3/16X1 525                          UNI   ATF0000000000000018
P2019238940001548692          ACO CEARENSE TUBO GALV. 3/4 - 2.00 S/R            M     ATT1700000000000905
P2019238940001548693          ACO CEARENSE TUBO GALV. 1.1/4 - 2.00 S/R          M     ATT1700000000001240
P2019238940001548694          ACO CEARENSE PERFIL U LEVE PRETO 1.20             PC    ATT1700000000001900
P2019238940001548695          PERFILADOS TUBO QUADRADO 25X25 0.95 GALV          PC    ATT1700000000002599
P2019238940001548696          DOBRADIÇA INF. E SUP.                             UNI   ATF0000000000003999
P2019238940001548697          DOBRADIÇA MANCAL INFER. P PORTA                   UNI   ATF0000000000001050
P2019238940001548698          DOBRADIÇA MANCAL SUP. E LATERAL                   UNI   ATF0000000000000815
P2019238940001548699          CREMALHEIRA ACO L LEVE PROT                       PC    ATT1700000000002699
P2019238940001548700          DOBRADICA  ALUM 90 X 70 BRONZE                    PC    ATT1700000000000460
P2019238940001548701          DOBRADICA  ALUM 50 X 40 FOSCA                     PC    ATT1700000000000180
P2019238940001548702          FECHO CENTRAL 80MM 25/30 FOSCO                    PC    ATT1700000000001350
P2019238940001548703          FECHO CENTRAL 80MM 25/30 PRETO                    PC    ATT1700000000001400
P2019238940001548704          LIMA REDONDA 8 BASTARDA PORTELA                   PC    ATT1700000000001799
P2019238940001548705          ROLDANA BROCK DUPLA C/REGULAGEM                   UNI   ATF0000000000001600
P2019238940001548706          ACO CEARENSE METALON 40 X 40 2.00                 PC    ATT1700000000007350
P2019238940001548707          ACO CEARENSE METALON 30 X 30 1.20                 PC    ATT1700000000003580
P2019238940001548708          ACO CEARENSE METALON 40 X 30 1.50                 PC    ATT1700000000004945
P2019238940001548709          ACO CEARENSE METALON 50 X 20 1.20                 PC    ATT1700000000003840
P2019238940001548710          ACO CEARENSE METALON 50 X 20 1.50                 UNI   ATT1700000000004980
P2019238940001548711          PERFILADOS CHAPA PS 2.65X1000X2000MM              PC    ATT1700000000030730
P2019238940001548712          CBA TELHA ONDULADA 1072X0.50                      UNI   ATT1700000000002875
P2019238940001548713          ACO CEARENSE METALON GALV 50 X 30 1.25            PC    ATT1700000000005760
P2019238940001548714          PERFILADOS TUBO RETANGULAR 30X40 1.25             PC    ATT1700000000004860
P2019238940001548715          PERFILADOS TUBO QUADRADO15X15 0.95                PC    ATT1700000000001799
P2019238940001548716          BROCA VIDEA 6.0 DIN 8039 IRWIN                    UNI   ATT1700000000000799
P2019238940001548717          KIT JANELA  ALKIT04                               UNI   ATT1700000000002810
P2019238940001548718          PARAFUSO SEXT SOB 1/4X65MM                        UNI   ATT1700000000000033
P2019238940001548719          BROCA AR 2.00MM IRWIN                             UNI   ATT1700000000000610
P2019238940001548720          BROCA AR 5/32 IRWIN                               UNI   ATT1700000000000580
P2019238940001548721          ACO CEARENSE METALON 50 X 30 2.00                 M     ATT1700000000007350
P2019238940001548722          DISCO CORTE INOX 4 1/2 X 3/64 BNA 12 2T           UNI   ATT1700000000000680
P2019238940001548723          BANDEIRANTES VIDRO TEMP INCOLOR 6MM INST          M     ATF0000000000016899
P2019238940001548724          SERRA 255MM VIDEA TRAPEZIO P/ALUMINIO-100 DENTES  UNI   ATT4000000000014506
P2019238940001548725          ACO CEARENSE CHAPA PRETA 22 2X1.20                PC    ATT1700000000006670
P2019238940001548726          LAMBRI BUZIO BCO LB073                            UNI   ATT1700000000002255
P2019238940001548727          LAMBRI L.UNI BCO LU072                            UNI   ATT1700000000001925
P2019238940001548728          PERFILADOS PERFIL U ENRIJECIDO 2X 200             PC    ATT1700000000005299
P2019238940001548729          PERFIL BP357 6063T5 BCO                           UNI   ATT1700000000002250
P2019238940001548730          PERFIL BP358 6063T5 BCO                           UNI   ATT1700000000002150
P2019238940001548731          PERFIL BP309 6063T5 BCO                           UNI   ATT1700000000001480
P2019238940001548732          PERFIL BP321 6063T5 BCO                           UNI   ATT1700000000001600
P2019238940001548733          PERFIL BP302 6063T5 BCO                           UNI   ATT1700000000001550
P2019238940001548734          PERFIL BP202 6063T5 BCO                           UNI   ATT1700000000000390
P2019238940001548735          SERRA 300MM VIDEA TRAPEZIO P/ALUMINIO-100 DENTES  UNI   ATT1700000000020000
P2019238940001548736          GERDAU BARRA CHATA 1 1/2 X 5/16                   UNI   ATT1700000000006630
P2019238940001548737          PARAFUSO AUTO BROC 5.5X19(12X3/4) CH 5/16         UNI   ATF0000000000000035
P2019238940001548738          PARAFUSO AUTO BROC 5.5X25(12X1) CH 5/16           UNI   ATF0000000000000040
P2019238940001548739          BANDEIRANTES KIT BOX AL KC-4P-120 PT              UNI   ATF0000000000030599
P2019238940001548740          CHAVE P/ROLDANA SEXTAVADA                         UNI   ATT1700000000002699
P2019238940001548741          CHAVE GABARITO MULTIUSO                           UNI   ATT1700000000004999
P2019238940001548742          CHAVE ALLEN P/MONTADOR                            UNI   ATT1700000000001399
P2019238940001548743          PRENSAL TELA MOEDA PERFIL FERRO 1.90X495X19.72MM  M     ATT1700000000002599
P2019238940001548744          ACO CEARENSE CHAPA XADREZ 12 2 X 1.20             PC    ATT1700000000025100
P2019238940001548745          BRASKORT DISCO CORTE 4.1/2X1.3X7/8 INOX           UNI   ATT1700000000000450
P2019238940001548746          BRASKORT DISCO CORTE 7X1.6X7/8 INOX               UNI   ATT1700000000000650
P2019238940001548747          REGUA 2X1 BCO                                     UNI   ATT1700000000002350
P2019238940001548748          LAMBRI FRIZADO BCO                                UNI   ATT1700000000003899
P2019238940001548749          PERFILADOS TUBO QUADRADO 20X20 0.80 GALV          PC    ATT1700000000001990
P2019238940001548750          DOBRADICA ALUMINIO100X70 BRANCA                   UNI   ATF0000000000000915
P2019238940001548751          TRENA PRECISAO 5M ACO IRWIN                       UNI   ATT1700000000001250
P2019238940001548752          BROCA AR 1/8 IRWIN                                UNI   ATT1700000000000515
P2019238940001548753          PEITORIL DUP BRANCO                               UNI   ATT1700000000003199
P2019238940001548754          PORTA ELETRODO 600A C600 LEDAN                    UNI   ATF0000000000007170
P2019238940001548755          PROTETOR FACIAL 8 INC NOVEL                       UNI   ATF0000000000001999
P2019238940001548756          LENTE RET. INCOLOR 51X108                         UNI   ATF0000000000000070
P2019238940001548757          PORTA ELETRODO 1100A LD1100                       UNI   ATF0000000000008099
P2019238940001548758          BANDEIRANTES KIT BOX AL KC-4P-120 FOSCO           UNI   ATF0000000000021099
P2019238940001548759          ACO CEARENSE TUBO PATENTE 3 X 2.00 6M             UNI   ATF0000000000009350
P2019238940001548760          PINO INOX P/DOBRADICA INF                         UNI   ATT1700000000001150
P2019238940001548761          PINO INOX P/PIVO DE DOBRADICA                     UNI   ATT1700000000000440
P2019238940001548762          CBA TUBO RET.2X1/2X1 6063 T5 FOSCO                UNI   ATT1700000000000930
P2019238940001548763          PERFILADOS CHAPA FQ SAE  1/8                      PC    ATT1700000000025899
P2019238940001548764          PERFILADOS CHAPA FQ ASTM-A36 1/2                  PC    ATT1700000000107999
P2019238940001548765          PERFILADOS CHAPA FQ ASTM-A36  3/8                 PC    ATT1700000000081699
P2019238940001548766          PERFILADOS CHAPA FQ ASTM-A36  1/4                 PC    ATT1700000000052899
P2019238940001548767          PERFILADOS CHAPA FQ ASTM-A36 5/16                 PC    ATT1700000000064599
P2019238940001548768          ACO CEARENSE TELHA MT TZ 40 CINCALUM 0.40         M     ATF0000000000002595
P2019238940001548769          PROMEL TAMPA FURO NYLON 042 CINZA                 UNI   ATF0000000000000010
P2019238940001548770          3F FECH BICO PAPAGAIO 615/90GR                    UNI   ATF0000000000003900
P2019238940001548771          3F FECH BICO PAPAGAIO 615/50CR                    UNI   ATF0000000000002730
P2019238940001548772          3F FECH BICO PAPAGAIO 615/90CR                    UNI   ATF0000000000003800
P2019238940001548773          3F FECH DE PORTAO-SOBREPOR 1130ZCR                UNI   ATF0000000000003700
P2019238940001548774          3F FECH PERFIL ESTREITO 522/11490PP-EP            UNI   ATF0000000000004999
P2019238940001548775          3F FECH PERFIL ESTREITO 522/11250CR-EP            UNI   ATF0000000000003700
P2019238940001548776          3F FECH PERFIL ESTREITO 522/11490CR-EP            UNI   ATF0000000000005600
P2019238940001548777          HASTE ALUMINIO 1/4 X 40                           UNI   ATF0000000000000160
P2019238940001548778          ALCOA LAMBRIL FOSCO 15CM LB073                    UNI   ATT1700000000003399
P2019238940001548779          ALCOA LAMBRIL FRIZADO BRONZE LB081                UNI   ATT1700000000003499
P2019238940001548780          TELA ALAMBRADO 75X50X2.76-12  1.50MT              M     ATF0000000000003399
P2019238940001548781          TELA ALAMBRADO 150X50X2.76-12  2MT                M     ATF0000000000003599
P2019238940001548782          TELA ALAMBRADO 25X50X2.76-2+PVC  1.50MT           M     ATF0000000000004199
P2019238940001548783          TELA ALAMBRADO 150X50X2.76-12+PVC  2MT            M     ATF0000000000004599
P2019238940001548784          BROCA AR 3/4 IRWIN                                UNI   ATT1700000000027199
P2019238940001548785          STAM FECHADURA PERF METAL 603/07 CL90             UNI   ATF0000000000005999
P2019238940001548786          STAM FECHADURA EXT BICO PAPAGAIO CL90 901         UNI   ATF0000000000004599
P2019238940001548787          BANDEIRANTES VIDRO TEMP BRONZE 8MM BOX            M2    ATF0000000000026499
P2019238940001548788          GERDAU PREGO CC 3.1/2 X 1/8                       UNI   ATT1700000000000750
P2019238940001548789          GERDAU BARRA CHATA 3 X 3/8                        PC    ATT1700000000017599
P2019238940001548790          PORCA7/8 SEXT. 1020 NC 9F CH1.5/16                UNI   ATF0000000000000180
P2019238940001548791          ARRUELA LISA 7/8                                  UNI   ATF0000000000000060
P2019238940001548792          BARRA ROSCA 7/8 1020 NC 9F CISER                  UNI   ATF0000000000002699
P2019238940001548794          GERDAU PREGO CC 3.1/2X8                           UNI   ATF0000000000000850
P2019238940001548795          MASTER FERRO SAPATA 0.60X0.60CM 8.00MM CA50       UNI   ATF0000000000002260
P2019238940001548796          MASTER FERRO SAPATA 0.60X0.60CM 10.00MM CA50      UNI   ATF0000000000002935
P2019238940001548797          MASTER FERRO SAPATA 0.80X0.80X0.05CM 10MM         UNI   ATF0000000000004670
P2019238940001548798          GESSO CRE GOLFINHO                                KG    ATT1700000000000250
P2019238940001548799          RESIDUO DE SOJA                                   L     ATT1700000000000250
P2019238940001548800          PERFILADOS TUBO RETANGULAR 20 X 30 0.80 GALV      PC    ATT1700000000002680
P2019238940001548801          PERFILADOS TUBO REDONDO FQ 33.40 X 2.00           PC    ATT1700000000005399
P2019238940001548802          HASTE ACO 1/4 X 350 MM COMPLETA                   UNI   ATF0000000000000199
P2019238940001548803          HASTE ACO 1/4 X 400 MM COMPLETA                   UNI   ATF0000000000000250
P2019238940001548804          PERFILADOS PERFIL U SIMPLES 45X17X2.00X6000MM     PC    ATT1700000000003599
P2019238940001548805          PARAFUSO FEN AA PA4.2X19MM 8X3 4                  UNI   ATF0000000000000008
P2019238940001548806          STAR ELETRODO 2.50MM                              KG    ATF0000000000001299
P2019238940001548807          STAR ELETRODO 3.25MM                              KG    ATF0000000000001199
P2019238940001548808          ALCOA LAMBRI ONDA DUPLA BRANCO                    UNI   ATT1700000000003250
P2019238940001548809          PERFILADOS TUBO REDONDO ZC 1" 25.40X1.55X6000MM   PC    ATT1700000000003650
P2019238940001548810          PERFILADOS TUBO REDONDO ZC 3/4" 19.05X1.55X6000MM PC    ATT1700000000002690
P2019238940001548811          GIROCOR ZARCAO PRETO 1 LITRO                      UNI   ATF0000000000001100
P2019238940001548812          GIROCOR ZARCAO PRETO GALAO 3.6L                   UNI   ATF0000000000003300
P2019238940001548813          GIROCOR ZARCAO VERMELHO LATAO 18L                 UNI   ATF0000000000008200
P2019238940001548814          GIROCOR ZARCAO CINZA GALAO 3.6L                   UNI   ATF0000000000003300
P2019238940001548815          GIROCOR ZARCAO VERDE GALAO 3.6L                   UNI   ATF0000000000003300
P2019238940001548816          GIROCOR ZARCAO VERMELHO 1L                        UNI   ATF0000000000001100
P2019238940001548817          GIROCOR ZARCAO CINZA 1L                           UNI   ATF0000000000001100
P2019238940001548818          GIROCOR ZARCAO VERDE 1L                           UNI   ATF0000000000001100
P2019238940001548819          REBITE FERRO 3/16 X 1                             UNI   ATF0000000000002199
P2019238940001548820          PERFILADOS LAMBRIL 0.80X1100X2000MM               UNI   ATT1700000000008370
P2019238940001548821          PERFILADOS CHAPA FQ ASTM-A36  4.75  3/16          PC    ATT1700000000040299
P2019238940001548822          CBA PERFIL BP024 6063-T5 FOS                      UNI   ATT1700000000000905
P2019238940001548823          CBA PERFIL BP300 6063-T5 P BCO BRI 9003           UNI   ATT1700000000001270
P2019238940001548824          3F FECH PERFIL ESTREITO 522/11474 CR-EP           UNI   ATF0000000000005194
P2019238940001548825          3F FECH PERFIL ESTREITO 615/74CR                  UNI   ATF0000000000003440
P2019238940001548826          BANDEIRANTES VIDRO TEMP INCOLOR12MM INST          UNI   ATF0000000000090400
P2019238940001548827          STAM FECHADURA/GIRO BUZIO BCA                     UNI   ATF0000000000007020
P2019238940001548828          STAM FECHADURA/CORRER BUZIO BCA                   UNI   ATF0000000000005270
P2019238940001548829          ALCOA TUBO RET 1X1/2 BCO                          M     ATT1700000000001350
P2019238940001548830          ALCOA TRILHO SUP. PORTAO BUZIO BCO                UNI   ATT1700000000001620
P2019238940001548831          ALCOA CONTORNO P/PORTAO (SP)BCO                   M     ATT1700000000004199
P2019238940001548832          GERDAU ESTRIBO VERGALHAO ACO 4.2 7X12             UNI   ATF0000000000000032
P2019238940001548833          BROCA VIDEA 13/32(10MM) IRWIN                     UNI   ATT1700000000001499
P2019238940001548834          BROCA VIDEA 3/16 (5.0MM) IRWIN                    UNI   ATT1700000000000570
P2019238940001548835          BROCA AR 5/8 IRWIN                                UNI   ATT1700000000019999
P2019238940001548836          DISCO CORTE INOX 7                                UNI   ATT1700000000001499
P2019238940001548837          PARAFUSO FEN MD CH 4.2 X 40MM 8X1.12              UNI   ATF0000000000000012
P2019238940001548838          REBITE REP AL 5/32X5/8 416 4X16MM                 UNI   ATT1700000000000012
P2019238940001548839          PERFILADOS TUBO RETANGULAR 30 X 50 0.80 GALV      PC    ATT1700000000003940
P2019238940001548840          CANTO P/ CERAMICA PRETO CL-016                    M     ATT1700000000000400
P2019238940001548841          CANTO P/ CERAMICA BRANCO CL-016                   M     ATT1700000000000400
P2019238940001548842          PERFIL VIDRO SUP. 8MM BRONZE                      UNI   ATT1700000000002820
P2019238940001548843          PERFIL VIDRO INF. 8MM BRONZE                      UNI   ATT1700000000001530
P2019238940001548844          PERFIL VIDRO CAPA 8MM BRONZE                      UNI   ATT1700000000001025
P2019238940001548845          ARREMATE CLIC BRONZE BX003                        UNI   ATT1700000000000285
P2019238940001548846          PERFIL VIDRO UNIAO 8MM BRONZE                     UNI   ATT1700000000000645
P2019238940001548847          PERFILADOS TUBO QUADRADO15X15 0.80                PC    ATT1700000000001435
P2019238940001548848          PERFILADOS TUBO QUADRADO25X25 0.80                PC    ATT1700000000002280
P2019238940001548849          MAO DE OBRA                                       UNI   ATT1700000000010000
P2019238940001548850          ARRUELA LISA 5/16                                 KG    ATF0000000000002399
P2019238940001548851          SERRA 12X18 IRWIN 1218                            UNI   ATT1700000000000530
P2019238940001548852          BROCA VIDEA 1/4 (6.5MM) IRWIN                     UNI   ATT1700000000000820
P2019238940001548854          EXPOSITOR DE BROCAS                               UNI   ATT1700000000043000
P2019238940001548855          CBA AL LAMBRI LB073 BUZIO FC                      UNI   ATT1700000000002499
P2019238940001548856          PARAFUSO FEN AA PA4.8X32MM 10X1                   UNI   ATF0000000000000022
P2019238940001548857          GIROCOR ZARCAO VERMELHO GALAO 3.6L                UNI   ATF0000000000003300
P2019238940001548858          GIROCOR ZARCAO CINZA LATAO                        UNI   ATF0000000000008200
P2019238940001548859          GIROCOR ZARCAO PRETO LATAO                        UNI   ATF0000000000008200
P2019238940001548860          ACO CEARENSE CHAPA GALVANIZADA 16 2 X 1.2         PC    ATT1700000000016599
