U169915536000133018911978     4650          JUAREZ DE OLIVEIRA ME                             
E269915536000133480           CORREIA B-51                                      UNI???+000000300
E269915536000133481           CORREIA B-52                                      UNI???+000000600
E269915536000133482           CORREIA B-53                                      UNI???+000000500
E269915536000133489           ROLO DENTADO EN-12 ANTIGO                         UNI???+000000100
E269915536000133484           CORREIA B-54                                      UNI???+000000000
E269915536000133491           ROLO LISO EN-9 NOVO.                              UNI???+000000100
E269915536000133486           CORREIA B-55                                      UNI???+000000000
E269915536000133487           CORREIA B-56                                      UNI???+000000200
E269915536000133488           CORREIA B-57                                      UNI???+000000200
E269915536000133490           ROLO DENTADO EN-9 NOVO                            UNI???+000000100
E269915536000133492           ROLO LISO EN-12 NOVO                              UNI???+000000100
E269915536000133493           CORREIA B-58                                      UNI???+000000100
E269915536000133494           CORREIA B-59                                      UNI???+000000100
E269915536000133495           CORREIA B-60                                      UNI???+000000100
E269915536000133496           ROLO LISO EN-12 ANTIGO                            UNI???+000000000
E269915536000133497           CORREIA B-61                                      UNI???+000000000
E269915536000133498           CORREIA B-62                                      UNI???+000000100
E269915536000133499           CORREIA B-63                                      UNI???+000000400
E269915536000133500           CORREIA B-64                                      UNI???+000000300
E269915536000133501           CORREIA B-65                                      UNI???+000000500
E269915536000133502           CORREIA B-66                                      UNI???+000000700
E269915536000133503           CORREIA B-67                                      UNI???+000001100
E269915536000133504           CORREIA B-68                                      UNI???+000000500
E269915536000133505           CORREIA B-69                                      UNI???+000001300
E269915536000133506           CORREIA B-70                                      UNI???+000001400
E269915536000133507           CORREIA B-71                                      UNI???+000000200
E269915536000133508           CORREIA B-72                                      UNI???+000000600
E269915536000133509           CORREIA B-73                                      UNI???-000000100
E269915536000133510           CORREIA B-74                                      UNI???+000001100
E269915536000133511           CORREIA B-75                                      UNI???+000000400
E269915536000133512           CORREIA B-76                                      UNI???+000000900
E2699155360001334037          REBOBINAMENTO 0.75 HP                             UNI???+000000000
E269915536000133513           CORREIA B-77                                      UNI???+000000000
E269915536000133514           CORREIA B-78                                      UNI???+000000000
E269915536000133515           FACA EC 4000 NOVA JS                              CX????+000000000
E269915536000133516           CORREIA B-108                                     UNI???+000000100
E269915536000133517           FACA EC 4000 VELHA JS                             CX????+000000000
E269915536000133518           CORREIA B-109                                     UNI???+000000000
E269915536000133519           CORREIA B-110                                     UNI???+000000000
E269915536000133520           CORREIA B-111                                     UNI???+000000000
E269915536000133521           FACA PN-PLUS 2000 AÇO CROMO NOGUEIRA              CX????+000000000
E269915536000133522           CORREIA B-112                                     UNI???+000000000
E269915536000133523           CORREIA B-113                                     UNI???+000000000
E269915536000133524           CORREIA B-114                                     UNI???+000001400
E269915536000133567           FACA DPM-4 JS                                     CX????+000000000
E269915536000133526           CORREIA B-115                                     UNI???+000000400
E269915536000133527           CORREIA B-116                                     UNI???+000001000
E269915536000133528           FACA PN PLUS AÇO CROMO JS                         CX????+000000400
E269915536000133529           CORREIA B-117                                     UNI???+000000000
E269915536000133530           CORREIA B-118                                     UNI???+000000400
E269915536000133531           CORREIA B-119                                     UNI???+000000000
E269915536000133532           CORREIA B-120                                     UNI???+000000000
E269915536000133533           CORREIA B-128                                     UNI???+000000000
E269915536000133534           CONTRA FACA GT-2000/GT-1500 GARTHEN               CX????+000000800
E269915536000133535           CORREIA B-130                                     UNI???+000000300
E269915536000133536           CORREIA C-64                                      UNI???+000000000
E269915536000133537           CORREIA B-79                                      UNI???+000000100
E269915536000133538           CORREIA B-80                                      UNI???+000000400
E269915536000133539           CORREIA B-81                                      UNI???+000000500
E269915536000133540           CORREIA B-82                                      UNI???+000000400
E269915536000133541           CORREIA B-83                                      UNI???+000000000
E269915536000133542           CORREIA B-84                                      UNI???+000000300
E269915536000133543           CORREIA B-85                                      UNI???+000000200
E269915536000133544           CORREIA B-86                                      UNI???+000000800
E269915536000133545           CORREIA B-87                                      UNI???+000001100
E269915536000133546           CORREIA B-88                                      UNI???+000000300
E269915536000133547           CORREIA B-89                                      UNI???+000000700
E269915536000133548           CORREIA B-90                                      UNI???+000000500
E269915536000133549           CORREIA B-91                                      UNI???+000000300
E269915536000133550           CORREIA B-92                                      UNI???+000000000
E269915536000133551           CORREIA B-93                                      UNI???+000000000
E269915536000133552           CORREIA B-94                                      UNI???+000000200
E269915536000133553           CORREIA B-95                                      UNI???-000000200
E269915536000133554           CORREIA B-96                                      UNI???+000000500
E2699155360001334036          REBOBINAMENTO 0.5 HP                              UNI???+000000000
E269915536000133555           CORREIA B-97                                      UNI???+000000000
E269915536000133556           CORREIA B-98                                      UNI???+000000100
E269915536000133557           CORREIA B-99                                      UNI???+000000700
E269915536000133558           CORREIA B-100                                     UNI???+000000600
E269915536000133559           CORREIA B-101                                     UNI???+000000000
E269915536000133560           CORREIA B-102                                     UNI???+000000000
E269915536000133561           CORREIA B-103                                     UNI???+000000500
E269915536000133562           CORREIA B-104                                     UNI???+000000000
E269915536000133563           CORREIA B-105                                     UNI???+000000000
E269915536000133564           CORREIA B-106                                     UNI???+000000000
E269915536000133565           CORREIA B-107                                     UNI???+000000000
E269915536000133566           FACA DP-4 JS                                      CX????+000000700
E269915536000133568           FACA TRAPP 40 A 400 CAMPINA GRANDE                CX????+000000400
E269915536000133569           FACA DPM-1/DPM-JR NOGUEIRA JOGO C/ 2 NAVALHA      CX????+000000800
E269915536000133570           FACA DPM-HOBBY                                    CX????+000000300
E269915536000133571           FACA  MINE EN-6180  NOGUEIRA                      CX????-000000300
E269915536000133572           FACA GP-2000/ GT-1500  GARTHEN                    UNI???+000000000
E269915536000133573           FACA EN-9/6400 ACO CROMO JS                       CX????+000000200
E269915536000133574           FACA DP-2 CREMASCO                                CX????+000000700
E269915536000133575           FACA DP-4/DCP-4/ECMINI CRAMASCO                   CX????+000000000
E269915536000133576           FACA DPM 1500-JR JS                               CX????+000000000
E269915536000133577           FACA DPM-2 NOGUEIRA                               CX????+000000200
E269915536000133578           FACA EN-9/6400  NOGUEIRA                          CX????-000000700
E269915536000133579           FACA EN-12/6600 NOGUEIRA                          CX????-000000100
E269915536000133580           FACA DPM-4 NOGUEIRA                               CX????+000000100
E269915536000133581           FACA DPM-JUNIOR NOGUEIRA                          CX????+000002100
E269915536000133582           FACA EN-PPC3 NOGUIRA                              CX????+000000000
E269915536000133583           CONTRA FACA EN-9 MOD ANTIGO  NOGUEIRA             UNI???+000000700
E2699155360001334012          KIT PARAFUSO M10 NOGUEIRA                         UNI???+000000000
E269915536000133584           CONTRA FACA EN-12 MOD. ANTIGA NOGUEIRA            UNI???+000000600
E269915536000133585           CONTRA FACA EC 500 ANTIGA CREMASCO                UNI???+000000000
E269915536000133586           CONTRA FACA DP-1/DCP-1 C/ 4 FUROS CREMASCO        UNI???+000000100
E269915536000133587           CONTRA FACA DP-2/DPC-2 C/ 4 FUROS CREMASCO        UNI???+000000000
E269915536000133588           CONTRA FACA DP-2 C/ 2 FUNROS CREMASCO             UNI???+000000200
E269915536000133589           PENEIRA 8MM TRAPP                                 UNI???+000000200
E269915536000133590           PENEIRA 3MM TRAPP                                 UNI???+000000100
E269915536000133591           PENEIRA 5MM TRAPP                                 UNI???+000000100
E269915536000133592           PENEIRA 8MM DPM- NOGUEIRA                         UNI???+000000300
E269915536000133593           PENEIRA 8MM DPM-1 NOGUEIRA                        UNI???+000000000
E269915536000133594           PENEIRA LISA DPM-4 NOGUEIRA                       UNI???+000000400
E269915536000133595           MOTOR DIESEL FORTHENGINE DE 30A-1                 UNI???+000000200
E269915536000133596           POLIA ALUMINIO 2B 170MM                           UNI???+000000300
E269915536000133597           POLIA ALUMINIO 2B 120MM                           UNI???+000000900
E269915536000133598           POLIA ALUMINIO 2B 110MM                           UNI???+000000800
E269915536000133599           POLIA ALUMINIO 2B 90MM                            UNI???+000000600
E269915536000133600           POLIA ALUMINIO 3A 65MM 90MM 115MM                 UNI???+000000000
E269915536000133601           POLIA ALUMINIO 3A 75MM 100MM 125MM                UNI???+000000000
E269915536000133602           CILINDRO RESIDENCIAL ELETRICO  INOX MASTER        UNI???+000000000
E269915536000133603           POLIA ALUMINIO 3B 140MM                           UNI???+000000100
E269915536000133604           POLIA ALUMINIO 3B 130MM                           UNI???+000000300
E269915536000133605           GRAXEIRO MANUAL HL-7 HIDROLUBZ                    UNI???+000000000
E269915536000133606           POLIA ALUMINIO 3B 120MM                           UNI???+000000100
E269915536000133607           POLIA ALUMINIO 3B 110MM                           UNI???+000002100
E269915536000133608           POLIA ALUMINIO 3B 100MM                           UNI???+000000400
E269915536000133609           POLIA ALUMINIO 3B 160MM                           UNI???+000000300
E2699155360001331716          FUSIVEL WEG DII 10A 500V                          UNI???+000000000
E269915536000133611           POLIA ALUMINIO 1B 300MM                           UNI???+000000300
E269915536000133612           POLIA ALUMINIO 1A 300MM                           UNI???+000000100
E269915536000133613           FIO DE CORTE REDONDO 2.7MM STIHL 00009302319      PC????+000002400
E269915536000133614           FIO DE CORTE REDONDO 2.4MM STIHL 00009302321      PC????+000048000
E269915536000133615           FIO DE CORTE QUADRADO 3.0MM STIHL                 PC????+000015150
E269915536000133616           COMPRESSOR WIND DIRECT AR PRESSURE                UNI???+000000000
E2699155360001331503          MOTOR VOGES NEMA 56 5 CV 220/440V 2P              UNI???+000000000
E269915536000133618           POLIA ALUMINIO 2A 120MM                           UNI???+000000600
E269915536000133619           BOMBA SUB EBARA  4BPS3I-13 1.5HP MONO             UNI???+000000000
E269915536000133620           POLIA ALUMINIO 1A 290MM                           UNI???+000000000
E269915536000133621           BOMBA SUB EBARA 4BPS5I-18 3HP MONO                UNI???+000000000
E269915536000133622           POLIA ALUMINIO 1B 290MM                           UNI???+000000500
E269915536000133623           PENEIRA 10MM DPM-4 NOGUEIRA                       UNI???+000000000
E269915536000133624           POLIA ALUMINIO 1B 280MM                           UNI???+000000000
E269915536000133625           PENEIRA 5MM DPM-4 NOGUEIRA                        UNI???-000000200
E269915536000133626           PENEIRA 3MM DPM-4 NOGUEIRA                        UNI???+000000000
E269915536000133627           POLIA ALUMINIO 1B 260MM                           UNI???+000000200
E269915536000133628           PENEIRA 8MM DPM-4 NOGUEIRA                        UNI???+000000000
E269915536000133629           PENEIRA 10MM DP-4 CREMASCO                        UNI???+000000000
E269915536000133630           POLIA ALUMINIO 1B 190MM                           UNI???+000000200
E269915536000133631           PENEIRA 10MM DP-2 CREMASCO                        UNI???-000000100
E269915536000133632           PENEIRA 10MM DP-1 CREMASCO                        UNI???+000000900
E269915536000133633           POLIA ALUMINIO 1A 180MM                           UNI???+000000200
E269915536000133634           POLIA ALUMINIO 1B 170MM                           UNI???+000000400
E269915536000133635           PENEIRA LISA DPM-1 NOGUEIRA                       UNI???+000000300
E269915536000133636           POLIA ALUMINIO 1B 180MM                           UNI???+000000500
E269915536000133637           PENEIRA 5MM DP-1 CREMASCO                         UNI???+000000000
E269915536000133638           POLIA ALUMINIO 1B 160MM                           UNI???+000000300
E269915536000133639           POLIA ALUMINIO 1B 150MM                           UNI???+000000200
E269915536000133640           PENEIRA 3MM DP-1 CREMASCO                         UNI???+000000000
E269915536000133641           PENEIRA 5MM DPM-1 NOGUEIRA                        UNI???+000000200
E269915536000133642           PENEIRA 10MM DPM-1 NOGUEIRA                       UNI???+000000400
E269915536000133643           PENEIRA 3MM DP-2 CREMASCO                         UNI???+000000000
E269915536000133644           PENEIRA 5MM DP-2 CREMASCO                         UNI???+000000000
E269915536000133645           PENEIRA LISA  DP-1 CREMASCO                       UNI???+000000000
E269915536000133646           POLIA ALUMINIO 1B 140MM                           UNI???+000000300
E269915536000133647           POLIA FERRO 2B 90MM                               UNI???+000000300
E269915536000133648           POLIA ALUMINIO 1B 120MM                           UNI???+000000600
E269915536000133649           POLIA ALUMINIO 1B 90MM                            UNI???+000000300
E269915536000133650           PENEIRA LISA DP-JR CREMASCO                       UNI???+000000100
E269915536000133651           POLIA ALUMINIO 1B 80MM                            UNI???+000000000
E269915536000133652           POLIA ALUMINIO 1B 70MM                            UNI???+000000600
E269915536000133653           POLIA ALUMINIO 1B 60MM                            UNI???+000000000
E269915536000133654           POLIA ALUMINIO 1A 80MM                            UNI???+000000400
E269915536000133655           POLIA FERRO 3B 90MM                               UNI???+000000000
E269915536000133656           PENEIRA 8MM DP-4 CREMASCO                         UNI???+000000200
E269915536000133657           POLIA ALUMINIO 2B 60MM                            UNI???+000000000
E2699155360001332592          POLIA ALUMINIO 1A 60MM                            UNI???+000000000
E269915536000133659           POLIA FERRO 3B 110MM                              UNI???+000000700
E269915536000133660           POLIA ALUMINIO 2A 60MM                            UNI???+000000200
E269915536000133661           POLIA FERRO 3B 120MM                              UNI???+000000600
E269915536000133662           POLIA ALUMINIO 1A 70MM                            UNI???+000000100
E2699155360001332554          TIRANTE DO ACELERADOR STIHL 1123-182-1505         UNI???+000000000
E2699155360001332500          CONSTRUÇÃO EM EIXO                                UNI???+000000000
E269915536000133664           VALVULA DE PÉ FERRO 3/4" FERREIRA LOPES           UNI???+000001100
E269915536000133665           JOELHO 90° ROSC. 1" KRONA                         UNI???+000006100
E269915536000133666           VALVULA DE PÉ FERRO 1.1/4 FERREIRA LOPES          UNI???+000001000
E269915536000133667           LUVA ROSC 3/4" KRONA                              UNI???+000004600
E2699155360001334035          BOMBEADOR 4BPS3F 16 EST. (1 PROTEÇÃO P/ CABO)     UNI???+000000100
E269915536000133668           POLIA ALUMINIO 2A 130MM                           UNI???+000000900
E269915536000133669           NIPLE ROSC 1/2" KRONA                             UNI???+000007000
E269915536000133670           NIPLE ROSC 3/4" KRONA                             UNI???+000015500
E269915536000133671           POLIA ALUMINIO 2A 140MM                           UNI???+000000500
E269915536000133672           NIPLE ROSC 1" KRONA                               UNI???+000009600
E269915536000133673           POLIA ALUMINIO 2A 150MM                           UNI???+000000100
E269915536000133674           POLIA ALUMINIO 2A 160MM                           UNI???+000000300
E269915536000133675           POLIA FERRO 3B 140MM                              UNI???+000000000
E269915536000133676           ABRAÇADEIRA JKB 1.1/4 X 1.1/2 KING                UNI???-000000200
E269915536000133677           ABRAÇADEIRA JKB 2 X 1.1/2 KING                    UNI???+000000000
E269915536000133678           POLIA ALUMINIO 2A 190MM                           UNI???+000000300
E269915536000133679           POLIA FERRO 3B 150MM                              UNI???+000000200
E269915536000133680           POLIA ALUMINIO 2A 200MM                           UNI???+000000200
E269915536000133681           POLIA ALUMINIO 2A 115MM                           UNI???+000000500
E269915536000133682           POLIA FERRO 3B 170MM                              UNI???+000000000
E269915536000133683           POLIA FERRO 4B 100MM                              UNI???+000000000
E269915536000133684           CURVA P/ REGISTRO 3" FERRO FAL                    UNI???+000000300
E269915536000133685           POLIA FERRO 2B 300MM                              UNI???+000000200
E269915536000133686           CURVA P/ REGISTRO 2.1/2" FERRO FAL                UNI???+000000100
E269915536000133687           CURVA P/ REGISTRO 2." FERRO FAL                   UNI???+000000000
E269915536000133688           POLIA FERRO 2B 130MM                              UNI???+000000500
E269915536000133689           CURVA P/ REGISTRO 1" FERRO FERREIRA LOPES         UNI???+000000000
E269915536000133690           POLIA FERRO 2B 120MM                              UNI???+000000200
E269915536000133691           POLIA FERRO 2B 200MM                              UNI???+000000000
E269915536000133692           CURVA P/ REGISTRO C/ RED 3" X 2" FERRO FAL        UNI???+000002300
E269915536000133693           POLIA FERRO 2B 190MM                              UNI???+000000100
E269915536000133694           POLIA FERRO 1B 220MM                              UNI???+000000100
E269915536000133695           CURVA P/ REGISTRO C/ RED 3" X 1.1/2" FERRO FAL    UNI???+000001600
E269915536000133696           POLIA FERRO 2B 150MM                              UNI???+000000000
E269915536000133697           CURVA P/ REGISTRO C/ RED. 3" X 1.1/4" FERRO FAL   UNI???+000000700
E269915536000133698           POLIA FERRO 2B 160MM                              UNI???+000000700
E269915536000133699           CURVA P/ REGISTRO C/ RED. 2" X 1.1/2" FERRO FAL   UNI???+000002100
E269915536000133700           POLIA FERRO 2B 170MM                              UNI???+000000200
E269915536000133701           CURVA P/ REGISTRO C/ RED 2" X 1.1/4" FERRO FAL    UNI???+000002000
E269915536000133702           POLIA FERRO 1B 150MM                              UNI???+000000300
E269915536000133703           CURVA P/ REGISTRO C/ RED. 2" X 1" FERRO FAL       UNI???+000001900
E269915536000133704           POLIA FERRO 2B 140MM                              UNI???+000000500
E269915536000133705           CURVA P/ REGISTRO C/ RED. 1.1/2" X 1" FERRO FAL   UNI???-000000800
E269915536000133706           POLIA FERRO 1B 140MM                              UNI???+000000600
E269915536000133707           POLIA FERRO 2B 110MM                              UNI???+000000000
E269915536000133708           UNIÃO ZINCADA ASSENTO FERRO 1/2                   UNI???+000000000
E269915536000133709           POLIA FERRO 1B 130MM                              UNI???+000000400
E2699155360001331547          MOTOR VOGES BLINDADO IP55 10CV 132S4 4P 220/380   UNI???+000000000
E269915536000133711           CURVA P/ MANGOTE 1" FERRO FAL                     UNI???+000000000
E269915536000133712           POLIA FERRO 1B 120MM                              UNI???+000000700
E269915536000133713           POLIA FERRO 1B 110MM                              UNI???+000000100
E269915536000133714           POLIA FERRO 1B 90MM                               UNI???+000000000
E269915536000133715           POLIA FERRO 1B 80MM                               UNI???+000000100
E269915536000133716           POLIA FERRO 1B 100MM                              UNI???+000000100
E269915536000133717           CURVA RED P/ MANGOTE 3 X 2" FERRO FAL             UNI???+000000000
E269915536000133718           POLIA FERRO 2A 120MM                              UNI???+000000200
E269915536000133719           POLIA FERRO 2A 130MM                              UNI???+000000400
E269915536000133720           POLIA FERRO 2A 140MM                              UNI???+000000100
E2699155360001334034          FERRAMENTA DE DESMONTAGEM M6                      UNI???+000000000
E269915536000133721           POLIA FERRO 2A 110MM                              UNI???+000000200
E269915536000133722           POLIA FERRO 1A 50MM                               UNI???+000000300
E269915536000133723           POLIA ALUMINIO 1A 250MM                           UNI???+000000200
E269915536000133724           POLIA FERRO 1A 60MM                               UNI???+000000000
E269915536000133725           POLIA ALUMINIO 1A 240MM                           UNI???+000000000
E269915536000133726           POLIA FERRO 1A 70MM                               UNI???+000000000
E269915536000133727           POLIA ALUMINIO 1A 230MM                           UNI???+000000200
E269915536000133728           POLIA FERRO 1A 80MM                               UNI???+000000000
E269915536000133729           POLIA FERRO 1A 90MM                               UNI???-000000100
E269915536000133730           POLIA FERRO 1A 100MM                              UNI???-000000200
E269915536000133731           POLIA ALUMINIO 1A 220MM                           UNI???+000000000
E269915536000133732           POLIA FERRO 1A 110MM                              UNI???+000000200
E269915536000133733           POLIA ALUMINIO 1A 210MM                           UNI???+000000000
E269915536000133734           POLIA FERRO 1A 120MM                              UNI???+000000000
E269915536000133735           POLIA ALUMINIO 1A 190MM                           UNI???+000000200
E269915536000133736           POLIA ALUMINIO 1A 150MM                           UNI???+000000400
E269915536000133737           POLIA FERRO 1A 130MM                              UNI???+000000300
E269915536000133738           POLIA ALUMINIO 1A 140MM                           UNI???+000000500
E269915536000133739           POLIA FERRO 2A 60MM                               UNI???+000000000
E269915536000133740           POLIA ALUMINIO 1A 130MM                           UNI???+000000700
E269915536000133741           POLIA ALUMINIO 1A 120MM                           UNI???+000000500
E269915536000133742           POLIA ALUMINIO 1A 110MM                           UNI???+000000500
E269915536000133743           POLIA ALUMINIO 1A 100MM                           UNI???+000000200
E269915536000133744           POLIA ALUMINIO 1B 100MM                           UNI???+000001000
E269915536000133745           POLIA ALUMINIO 1B 130MM                           UNI???+000000100
E269915536000133746           POLIA ALUMINIO 1B 110MM                           UNI???+000000700
E269915536000133747           POLIA ALUMINIO 2B 160MM                           UNI???+000000500
E269915536000133748           POLIA ALUMINIO 2B 150MM                           UNI???+000000200
E269915536000133749           POLIA ALUMINIO 2B 140MM                           UNI???+000000400
E269915536000133750           POLIA ALUMINIO 2B 130MM                           UNI???+000000900
E269915536000133751           MANGUEIRA CRISTAL 1" X 3.0MM                      M?????+000014000
E269915536000133752           MANGUEIRA CRISTAL 1 X 2.5MM                       M?????+000031300
E269915536000133753           MANGUEIRA CRISTAL 1" X 2.0MM                      M?????+000007300
E269915536000133754           MANGUEIRA CRISTAL 3/4 X 3.0MM                     M?????+000017800
E269915536000133755           MANGUEIRA CRISTAL 3/4 X 2.5MM                     M?????+000023600
E269915536000133756           MANGUEIRA CRISTAL 3/4 X 2.0MM                     M?????+000016500
E269915536000133757           MANGUEIRA CRISTAL 1/2" X 2.5MM                    M?????+000000000
E269915536000133758           MANGUEIRA CRISTAL 1.1/4 X 3.0MM                   M?????+000011950
E269915536000133759           MANGUEIRA CRISTAL 1.1/4 X 2.5MM                   M?????+000010000
E269915536000133760           MANGUEIRA CRISTAL 1.1/2" X 3.0MM                  M?????+000006000
E269915536000133761           MANGUEIRA CRISTAL 1.1/2" X 2.5MM                  M?????+000016400
E269915536000133762           MANGUEIRA TRANÇADA PT 250 1"                      M?????-000008700
E269915536000133763           MANGUEIRA TRANÇADA PT 250 3/4"                    M?????+000012150
E269915536000133764           MANGUEIRA TRANÇADA PT 250 1/2                     M?????+000002800
E269915536000133765           MANGOTE FLEX ATOX 1                               M?????+000003700
E269915536000133766           MANGOTE FLEX ATOX 2                               M?????+000000350
E269915536000133767           MANGOTE FLEX ATOX 1.1/2                           M?????-000002300
E269915536000133768           MANGOTE FLEX ATOX 1.1/4                           M?????+000012900
E269915536000133769           MANGOTE AZUL 2.1/2 KANAFLEX                       M?????+000015750
E269915536000133770           MANGOTE AZUL 2 KANAFLEX                           M?????-000002600
E269915536000133771           MANGOTE AZUL 1.1/2 KANAFLEX                       M?????+000019250
E269915536000133772           MANGOTE AZUL 1.1/4 KANAFLEX                       M?????+000008970
E269915536000133773           MANGOTE AZUL 3/4 KANAFLEX                         M?????+000000500
E269915536000133774           MANGOTE AZUL 3 KANAFLEX                           M?????+000002400
E2699155360001334024          CILINDRO COM PISTÃO 046MM                         UNI???+000000100
E269915536000133775           MANGOTE AZUL 4 KANAFLEX                           M?????+000000000
E269915536000133776           MANGUEIRA PRETA 1/2 X 1.0MM                       M?????+000000000
E2699155360001334033          BUJÃO STIHL 1119-791-7306                         UNI???+000001200
E269915536000133777           MANGUEIRA PRETA - TB PE AGRICOLA 3/4  X 2.0MM     M?????+000000000
E269915536000133778           MANGUEIRA PRETA TB PE AGRICOLA 1 X 2.5MM          M?????+000000000
E269915536000133779           POLIA ALUMINIO 1A  110MM                          UNI???+000000000
E2699155360001331697          FUSIVEL WEG NH1 80A 500V                          CJ????+000000800
E2699155360001331696          SAIDA DE ASPESSOR AZUL 3" X 1.1/2"                UNI???+000001400
E269915536000133785           GRAXEIRO MANUAL HL-500 HIDROLUBZ                  UNI???+000000000
E269915536000133786           BOMBA SUBMERSA ANAUGER 700 220V                   UNI???+000000100
E269915536000133787           BOMBA SUBMERSA ANAUGER 6 220V                     UNI???+000000300
E2699155360001331520          HIDRAULICO KING C7R5 1.5CV C/ PONTA DE EIXO       UNI???+000000000
E2699155360001331519          HIDRAULICO KING C7R4 1CV C/PONTA DE EIXO          UNI???+000000200
E269915536000133790           SERRA CIRCULAR KGS-190 DWT                        UNI???+000000100
E269915536000133791           ESMERILHADEIRA RETA GS-600 VS DWT                 UNI???+000000000
E269915536000133792           FURADEIRA SBM-1050VT DWT                          UNI???+000000000
E269915536000133793           BOMBA MANCAL C7E7 3CV KING                        UNI???+000000000
E269915536000133794           BOMBA MANCAL C7R7 3CV KING                        UNI???+000000000
E269915536000133795           MARTELO PER. ROMPEDOR SBH-900 DS DWT              UNI???+000000100
E2699155360001331785          TEE SOLDÁVEL AZUL C/ ROSCA 50MM X 1" INJETPLAS    UNI???+000014600
E269915536000133797           BOMBA MANCAL INJETORA JBK46 3CV                   UNI???+000000000
E269915536000133798           POLITRIZ GPO-12 BOSCH                             UNI???+000000100
E269915536000133799           POLITRIZ GPO-14E BOSCH                            UNI???+000000100
E269915536000133800           ESMERILHADEIRA GWS 74EO PROFISSIONAL BOSCH        UNI???+000000100
E2699155360001331516          MOTOR B VOGES NEMA 56 2CV 30PC56 2P 220/380 FC149JUNI???+000000300
E2699155360001333551          MOTOR BOMBA 4T 5.5HP A155 GASOLINA ITALY 2.5X2"   UNI???+000000000
E2699155360001333550          ASPERSOR MICROMF ROT NORM 48LPH                   UNI???+000000300
E269915536000133804           REFTIFICADOR GGS 27L BOSCH                        UNI???+000000000
E2699155360001331499          MOTOR VOGES NEMA 56 1.5CV 110/220V 2P             UNI???+000000100
E269915536000133862           CHAVE REVERSORA CR-503 25A 3V 220V  MARGÍRIUS     UNI???+000000200
E269915536000133807           FURADEIRA GSB 19-2 078 BOSCH                      UNI???+000000000
E2699155360001331522          MOTOR VOGES NEMA 56 1/2CV 110/220V 4P             UNI???+000000000
E269915536000133810           PLATINADO 1082 PHO 16-82 BOSCH                    UNI???+000000100
E2699155360001333546          CARCAÇA DO VENTILADOR STIHL 1125-080-2105         UNI???+000000200
E2699155360001333547          CILINDRO COM PISTÃO 38MM 41190201204              UNI???+000000100
E2699155360001331497          MOTOR VOGES NEMA 56 1CV 110/220V 2P               UNI???+000000100
E269915536000133813           ESMERILHADEIRA GWS 7-115 BOSCH                    UNI???+000000000
E269915536000133814           ESMERILHADEIRA GWS 14-180 PROFISSIONAL BOSCH      UNI???+000000000
E2699155360001334047          ESMERILHADEIRA GWS 26-180 220V BOSCH              UNI???+000000000
E2699155360001331527          HIDRAULICO KING C7E5 1.5CV C/ PONTA DE EIXO       UNI???+000000000
E269915536000133816           RETIFICADOR GGS 27 PROFISSIONAL                   UNI???+000000000
E269915536000133817           FURADEIRA PC 130486 BOSCH                         UNI???+000000000
E2699155360001331529          ASPERSOR MICRO 1/2 MC-20 VERDE                    UNI???+000000300
E269915536000133819           FURADEIRA GBM 10 RE PROFISSIONAL BOSCH            UNI???+000000300
E2699155360001331528          MOTOR VOGES RURAL RBK 3CV 90L2 2P 220/440V        UNI???+000000000
E269915536000133821           SERRA CIRCULAR 5401 + DISCO EXTRA SKIL            UNI???-000000100
E2699155360001331531          MAQUINA DE SOLDA VULCANO PRO 3200 110/220         UNI???+000000300
E269915536000133824           FURADEIRA E PARAFUSADEIRA ABS 14.4E DWT           UNI???+000000200
E269915536000133825           FURADEIRA GSB 16 RE 5E1000 BOSCH                  UNI???+000000100
E269915536000133826           CHAVE MANDRIL PEQUENA                             UNI???+000000500
E2699155360001331539          HIDRAULICO KING C7R5 1.5CV SEM PONTA DE EIXO      UNI???+000000000
E269915536000133828           CHAVE 53  HEMON                                   UNI???+000000000
E2699155360001331554          MOTOR VOGES RURAL RBK 2CV 80 2P 110/220V          UNI???+000000000
E2699155360001333549          BOMBA SCHNEIDER ME-HI 5210 2/3 CENTRIFUGA         UNI???+000000000
E269915536000133830           COMPRESSOR DIRECT AR JET PRESS PRESSURE           UNI???+000000000
E269915536000133831           COMPRESSOR JET MASTER 60HZ SCHUZ                  UNI???+000000100
E2699155360001334032          ARRUELA DE PRESSÃODE AÇO STIHL 12.22/15X0.60X3    UNI???+000000200
E269915536000133832           TORNO DE BANCADA Nº 08  MOTOMIL                   UNI???+000000000
E2699155360001331496          MOTOR VOGES NEMA 56 1/2CV 110/220V 2P             UNI???+000000100
E269915536000133834           TORNO DE BANCADA Nº 06 MOTOMIL                    UNI???+000000200
E269915536000133835           ESMERIL MOTOMIL 1CV  MONOF. 60Z                   UNI???+000000000
E269915536000133836           TORNO DE BANCADA Nº 05  MOTOMIL                   UNI???+000000000
E269915536000133837           ESMERIL MOTOMIL 1.5CV TRIF. 60HZ                  UNI???+000000000
E269915536000133838           TORNO DE BANCADA Nº 04  MOTOMIL                   UNI???+000000300
E269915536000133839           SERRA TICO-TICO ELETRÔNICA BOSCH SUPER HOBBY      UNI???+000000100
E269915536000133840           TORNO DE BANCADA Nº 03  MOTOMIL                   UNI???+000000400
E269915536000133841           BOMBA SUBMERSA ANAUGER M-650                      UNI???+000000000
